iter	Passed	Remaining
626	9761	5807
627	9784	5795
628	9801	5781
629	9814	5763
630	9827	5746
631	9841	5730
632	9855	5713
633	9869	5697
634	9883	5680
635	9897	5664
636	9909	5646
637	9922	5630
638	9936	5613
639	9949	5596
640	9963	5580
641	9978	5564
642	9995	5549
643	10014	5535
644	10027	5518
645	10039	5501
646	10053	5485
647	10066	5468
648	10080	5451
649	10095	5435
650	10107	5418
651	10121	5402
652	10135	5385
653	10148	5369
654	10162	5352
655	10175	5335
656	10187	5318
657	10203	5303
658	10220	5288
659	10235	5272
660	10248	5256
661	10262	5239
662	10274	5222
663	10287	5205
664	10301	5189
665	10315	5173
666	10328	5156
667	10341	5140
668	10353	5122
669	10366	5105
670	10379	5089
671	10395	5073
672	10410	5058
673	10425	5042
674	10444	5028
675	10459	5013
676	10472	4996
677	10484	4979
678	10498	4963
679	10513	4947
680	10527	4931
681	10542	4915
682	10555	4899
683	10568	4882
684	10580	4865
685	10592	4848
686	10606	4832
687	10621	4816
688	10642	4803
689	10656	4787
690	10670	4771
691	10683	4755
692	10695	4738
693	10708	4721
694	10722	4705
695	10735	4689
696	10749	4673
697	10761	4656
698	10775	4640
699	10787	4623
700	10802	4607
701	10815	4591
702	10829	4575
703	10843	4559
704	10859	4544
705	10874	4528
706	10887	4512
707	10900	4495
708	10914	4479
709	10926	4463
710	10942	4447
711	10956	4431
712	10969	4415
713	10982	4399
714	10994	4382
715	11007	4366
716	11021	4350
717	11036	4334
718	11050	4318
719	11068	4304
720	11083	4288
721	11096	4272
722	11111	4257
723	11127	4242
724	11145	4227
725	11161	4212
726	11176	4197
727	11195	4182
728	11211	4167
729	11227	4152
730	11244	4137
731	11263	4123
732	11283	4109
733	11299	4094
734	11315	4079
735	11331	4064
736	11346	4049
737	11362	4033
738	11376	4017
739	11391	4002
740	11407	3987
741	11423	3971
742	11439	3956
743	11456	3942
744	11473	3927
745	11490	3912
746	11509	3898
747	11526	3883
748	11543	3868
749	11558	3852
750	11574	3837
751	11592	3822
752	11607	3807
753	11622	3792
754	11639	3776
755	11657	3762
756	11672	3746
757	11690	3732
758	11708	3717
759	11726	3703
760	11745	3688
761	11763	3674
762	11778	3658
763	11795	3643
764	11811	3628
765	11825	3612
766	11838	3596
767	11851	3580
768	11864	3563
769	11877	3547
770	11890	3531
771	11905	3516
772	11922	3501
773	11938	3485
774	11953	3470
775	11965	3454
776	11979	3438
777	11993	3422
778	12006	3406
779	12020	3390
780	12034	3374
781	12046	3358
782	12059	3342
783	12071	3325
784	12085	3309
785	12183	3317
786	12224	3308
787	12270	3301
788	12291	3287
789	12310	3272
790	12323	3256
791	12335	3239
792	12348	3223
793	12361	3207
794	12373	3190
795	12389	3175
796	12408	3160
797	12425	3145
798	12439	3129
799	12452	3113
800	12464	3096
801	12478	3080
802	12491	3064
803	12506	3048
804	12520	3033
805	12534	3017
806	12546	3000
807	12559	2984
808	12572	2968
809	12585	2952
810	12600	2936
811	12621	2922
812	12635	2906
813	12649	2890
814	12662	2874
815	12675	2858
816	12688	2842
817	12702	2826
818	12717	2810
819	12729	2794
820	12741	2778
821	12754	2761
822	12767	2745
823	12781	2729
824	12794	2713
825	12808	2698
826	12824	2682
827	12841	2667
828	12855	2651
829	12868	2635
830	12913	2626
831	12975	2620
832	13005	2607
833	13051	2597
834	13071	2583
835	13085	2567
836	13099	2550
837	13112	2534
838	13125	2518
839	13139	2502
840	13152	2486
841	13165	2470
842	13179	2454
843	13192	2438
844	13205	2422
845	13218	2406
846	13231	2390
847	13245	2374
848	13259	2358
849	13273	2342
850	13290	2326
851	13305	2311
852	13318	2295
853	13332	2279
854	13347	2263
855	13359	2247
856	13372	2231
857	13384	2215
858	13399	2199
859	13413	2183
860	13426	2167
861	13439	2151
862	13453	2135
863	13466	2119
864	13479	2103
865	13495	2088
866	13535	2076
867	13547	2060
868	13561	2044
869	13575	2028
870	13588	2012
871	13601	1996
872	13614	1980
873	13629	1964
874	13641	1948
875	13655	1933
876	13669	1917
877	13682	1901
878	13695	1885
879	13710	1869
880	13727	1854
881	13742	1838
882	13757	1822
883	13770	1807
884	13784	1791
885	13796	1775
886	13809	1759
887	13823	1743
888	13835	1727
889	13849	1711
890	13863	1695
891	13875	1680
892	13890	1664
893	13903	1648
894	13916	1632
895	13932	1617
896	13951	1601
897	13966	1586
898	13979	1570
899	13991	1554
900	14005	1538
901	14019	1523
902	14033	1507
903	14047	1491
904	14061	1476
905	14074	1460
906	14087	1444
907	14100	1428
908	14113	1412
909	14126	1397
910	14140	1381
911	14153	1365
912	14172	1350
913	14185	1334
914	14198	1319
915	14211	1303
916	14224	1287
917	14236	1271
918	14249	1255
919	14263	1240
920	14275	1224
921	14288	1208
922	14301	1193
923	14314	1177
924	14327	1161
925	14341	1146
926	14355	1130
927	14376	1115
928	14393	1100
929	14406	1084
930	14419	1068
931	14432	1052
932	14445	1037
933	14461	1021
934	14474	1006
935	14488	990
936	14501	974
937	14513	959
938	14527	943
939	14540	928
940	14555	912
941	14575	897
942	14589	881
943	14604	866
944	14617	850
945	14629	835
946	14642	819
947	14655	803
948	14669	788
949	14683	772
950	14694	757
